GROUP,DAY,Percent_Correct
2N,1,50
2N,1,35
2N,1,48
2N,1,61
2N,1,55
Ts65Dn,1,25
Ts65Dn,1,35
Ts65Dn,1,30
Ts65Dn,1,40
Ts65Dn,1,51
2N,2,68
2N,2,58
2N,2,61
2N,2,64
2N,2,70
Ts65Dn,2,58
Ts65Dn,2,49
Ts65Dn,2,55
Ts65Dn,2,62
Ts65Dn,2,68
2N,3,75
2N,3,79
2N,3,72
2N,3,71
2N,3,80
Ts65Dn,3,67
Ts65Dn,3,63
Ts65Dn,3,69
Ts65Dn,3,78
Ts65Dn,3,80
2N,4,85
2N,4,90
2N,4,88
2N,4,82
2N,4,89
Ts65Dn,4,79
Ts65Dn,4,87
Ts65Dn,4,84
Ts65Dn,4,80
Ts65Dn,4,88
