GROUP,Latency,Atypical_Paw_Together,Atypical_NoContact,Atypical_Mouth_Pull,Sum_Atypical
2N,25,1,0,0,1
2N,18,2,1,1,4
2N,31,1,0,3,4
2N,15,2,1,1,4
2N,19,1,1,0,2
2N,26,2,0,1,3
2N,11,1,1,0,2
Ts65Dn,45,5,4,5,14
Ts65Dn,40,5,3,6,14
Ts65Dn,32,5,2,3,10
Ts65Dn,22,4,2,3,9
Ts65Dn,28,6,8,1,15
Ts65Dn,33,5,3,10,18
Ts65Dn,42,6,2,7,15
