GROUPS,Goal,Distance
2N,56,27
2N,75,14
2N,81,19
2N,63,23
2N,72,25
2N,70,19
2N,65,25
2N,90,10
2N,59,21
2N,63,33
Ts65Dn,35,55
Ts65Dn,28,61
Ts65Dn,41,39
Ts65Dn,22,38
Ts65Dn,19,44
Ts65Dn,36,56
Ts65Dn,26,40
Ts65Dn,21,49
Ts65Dn,29,33
Ts65Dn,40,37
